0x22DC	PLOT COMMAND
0x2307	STK-TO-BC
0x2314	STK-TO-A
0x2320	CIRCLE COMMAND
0x2382	DRAW COMMAND
0x247D	INITIAL PARAMETERS
0x24B7	LINE-DRAWING
0x24FB	SCANNING
0x250F	SCANNING QUOTES
0x2522	SCANNING TWO CO-ORDINATES
0x2530	SYNTAX-Z
0x2535	SCANNING SCREEN$
0x2580	SCANNING ATTRIBUTES
0x25AF	SCANNING UNARY PLUS
0x25B3	SCANNING QUOTE
0x25E8	SCANNING BRACKET
0x25F5	SCANNING FN
0x25F8	SCANNING RND
0x2627	SCANNING PI
0x2634	THE SCANNING INKEY$
0x2668	SCANNING SCREEN$
0x2672	SCANNING ATTR
0x267B	SCANNING POINT
0x2684	SCANNING ALPHANUMERIC
0x268D	SCANNING DECIMAL
0x26C9	SCANNING VARIABLE
0x27BD	SCANNING FUNCTION
0x28AB	FUNCTION SKIPOVER
0x28B2	LOOK-VARS
0x2951	STACK FUNCTION ARGUMENT
0x2996	STK-VAR
0x2A52	SLICING
0x2AB1	STK-STORE
0x2ACC	INT-EXP
0x2AEE	DE,(DE+1)
0x2AF4	GET-HL*DE
0x2AFF	LET COMMAND
0x2BF1	STK-FETCH
0x2C02	DIM COMMAND
0x2C88	ALPHANUM
0x2C8D	ALPHA
0x2C9B	DECIMAL TO FLOATING POINT
0x2D1B	NUMERIC
0x2D22	STK-DIGIT
0x2D28	STACK-A
0x2D2B	STACK-BC
0x2D3B	INTEGER TO FLOATING-POINT
0x2D4F	E-FORMAT TO FLOATING-POINT(offset +3C) 
0x2D7F	INT-FETCH
0x2D8E	INT-STORE
0x2DA2	FLOATING-POINT TO BC
0x2DC1	LOG(2↑A)
0x2DD5	FLOATING-POINT TO A
0x2DE3	PRINT A FLOATING-POINT NUMBER
0x2F8B	CA=10*A+C
0x2F9B	PREPARE TO ADD
0x2FBA	FETCH TWO NUMBERS
0x2FDD	SHIFT ADDEND
0x3004	ADD-BACK
0x300F	SUBTRACTION OPERATION (offset +03) 
0x3014	ADDITION OPERATION (offset +0F) 
0x30A9	HL=HL*DE
0x30C0	PREPARE TO MULTIPLY OR DIVIDE
0x30CA	MULTIPLICATION OPERATION (offset +04) 
0x31AF	DIVISION OPERATION (offset +05) 
0x3214	INTEGER TRUNCATION TOWARDS ZERO(offset +3A) 
0x3293	RE-STACK TWO
0x3297	RE-STACK(offset +3D) 
0x335B	CALCULATE
0x33A2	SINGLE OPERATION(offset +3B) 
0x33A9	TEST 5-SPACES
0x33B4	STACK NUMBER
0x33C0	MOVE A FLOATING-POINT NUMBER(offset +31) 
0x33C6	STACK LITERALS(offset +34) 
0x33F7	SKIP CONSTANTS
0x3406	MEMORY LOCATION
0x340F	GET FROM MEMORY AREA(offset +41) 
0x341B	STACK A CONSTANT(offset +3F) 
0x342D	STORE IN MEMORY AREA(offset +40) 
0x343C	EXCHANGE(offset +01) 
0x3449	SERIES GENERATOR(offset +3E) 
0x346A	ABSOLUTE MAGNITUDE FUNCTION (offset +2A) 
0x346E	UNARY MINUS OPERATION (offset +1B) 
0x3492	SIGNUM FUNCTION (offset +29) 
0x34A5	IN FUNCTION (offset +2C) 
0x34AC	PEEK FUNCTION (offset +2B) 
0x34B3	USR FUNCTION (offset +2D) 
0x34BC	USR STRING FUNCTION (offset +19) 
0x34E9	TEST-ZERO
0x34F9	GREATER THAN ZERO OPERATION (offset +37) 
0x3501	NOT FUNCTION (offset +30) 
0x3506	LESS THAN ZERO OPERATION (offset +36) 
0x350B	ZERO OR ONE
0x351B	OR OPERATION (offset +07) 
0x3524	NUMBER AND NUMBER OPERATION (offset +08) 
0x352D	STRING AND NUMBER OPERATION (offset +10) 
0x353B	COMPARISON OPERATIONS (offsets +09 to +0E, +11 to +16) 
0x359C	STRING CONCATENATION OPERATION (offset +17) 
0x35BF	STK-PNTRS
0x35C9	CHR$ FUNCTION (offset +2F) 
0x35DE	VAL AND VAL$ FUNCTIONS (offsets +18, +1D) 
0x361F	STR$ FUNCTION (offset +2E) 
0x3645	READ-IN(offset +1A) 
0x3669	CODE FUNCTION (offset +1C) 
0x3674	LEN FUNCTION (offset +1E) 
0x367A	DECREASE THE COUNTER(offset +35) 
0x3686	JUMP(offset +33) 
0x368F	JUMP ON TRUE(offset +00) 
0x369B	END-CALC(offset +38) 
0x36A0	MODULUS(offset +32) 
0x36AF	INT FUNCTION (offset +27) 
0x36C4	EXPONENTIAL FUNCTION (offset +26) 
0x3713	NATURAL LOGARITHM FUNCTION (offset +25) 
0x3783	REDUCE ARGUMENT(offset +39) 
0x37AA	COSINE FUNCTION (offset +20) 
0x37B5	SINE FUNCTION (offset +1F) 
0x37DA	TAN FUNCTION (offset +21) 
0x37E2	ARCTAN FUNCTION (offset +24) 
0x3833	ARCSIN FUNCTION (offset +22) 
0x3843	ARCCOS FUNCTION (offset +23) 
0x384A	SQUARE ROOT FUNCTION (offset +28) 
0x3851	EXPONENTIATION OPERATION (offset +06)

